symbol,price,date
BCHSVBTC,0.011179,2022-04-05 20:16:56
BCHABCUSDT,220.08,2022-04-05 20:16:56
BCHSVUSDT,58.9,2022-04-05 20:16:56
BNBPAX,495.1,2022-04-05 20:16:56
BTCPAX,51529.15,2022-04-05 20:16:56
ETHPAX,3904.41,2022-04-05 20:16:56
XRPPAX,0.8896,2022-04-05 20:16:56
EOSPAX,2.5845,2022-04-05 20:16:56
XLMPAX,0.04221,2022-04-05 20:16:56
RENBTC,1.04e-05,2022-04-05 20:16:56
RENBNB,0.004585,2022-04-05 20:16:56
BNBTUSD,449.1,2022-04-05 20:16:56
XRPTUSD,0.8238,2022-04-05 20:16:56
EOSTUSD,4.1159,2022-04-05 20:16:56
XLMTUSD,0.06833,2022-04-05 20:16:56
BNBUSDC,448.9,2022-04-05 20:16:56
BTCUSDC,45879.06,2022-04-05 20:16:56
ETHUSDC,3447.13,2022-04-05 20:16:56
XRPUSDC,0.8216,2022-04-05 20:16:56
EOSUSDC,2.784,2022-04-05 20:16:56
XLMUSDC,0.0497,2022-04-05 20:16:56
USDCUSDT,0.9999,2022-04-05 20:16:56
ADATUSD,1.174,2022-04-05 20:16:56
TRXTUSD,0.06996,2022-04-05 20:16:56
NEOTUSD,11.818,2022-04-05 20:16:56
TRXXRP,0.08519,2022-04-05 20:16:56
XZCXRP,20.792,2022-04-05 20:16:56
PAXTUSD,0.9995,2022-04-05 20:16:56
USDCTUSD,1.0,2022-04-05 20:16:56
USDCPAX,1.0002,2022-04-05 20:16:56
LINKUSDT,16.99,2022-04-05 20:16:56
LINKTUSD,28.87,2022-04-05 20:16:56
LINKPAX,3.9834,2022-04-05 20:16:56
LINKUSDC,17.01,2022-04-05 20:16:56
WAVESUSDT,30.54,2022-04-05 20:16:56
WAVESTUSD,1.072,2022-04-05 20:16:56
WAVESPAX,0.8029,2022-04-05 20:16:56
WAVESUSDC,1.2036,2022-04-05 20:16:56
BCHABCTUSD,220.2,2022-04-05 20:16:56
BCHABCPAX,221.2,2022-04-05 20:16:56
BCHABCUSDC,220.3,2022-04-05 20:16:56
BCHSVTUSD,59.17,2022-04-05 20:16:56
BCHSVPAX,58.18,2022-04-05 20:16:56
BCHSVUSDC,57.5,2022-04-05 20:16:56
LTCTUSD,150.1,2022-04-05 20:16:56
LTCPAX,171.13,2022-04-05 20:16:56
LTCUSDC,124.5,2022-04-05 20:16:56
TRXPAX,0.07661,2022-04-05 20:16:56
